분짜라붐 수원영통점,무관,"월급 2,500,000원","서빙, 주방장·조리사, 매장관리·판매, ","경기 수원시 영통구 청명남로 25 (영통동) 103,207호",http://www.albamon.com/list/gi/mon_gib_read.asp?AL_GI_No=60201143&mj_stat=0&optgf=
㈜ H . K 컴 퍼 니,무관,"월급 2,500,000원","제조·가공·조립, 생산·건설·노무 기타, ",경기 수원시 권선구 덕영대로 1093 (세류동) 가림빌딩 902호,http://www.albamon.com/list/gi/mon_gib_read.asp?AL_GI_No=60259485&mj_stat=0&optgf=
HS (한산),여자,"월급 3,500,000원","바(bar), ","경기 화성시 동탄중심상가1길 31 (반송동, 광장타워) 404-1호",http://www.albamon.com/list/gi/mon_gib_read.asp?AL_GI_No=60243476&mj_stat=0&optgf=
영통 칸지고고,무관,"월급 2,300,000원","레스토랑, 서빙, ",경기 수원시 영통구 영통동 958-3 번지 하우스토리 101호,http://www.albamon.com/list/gi/mon_gib_read.asp?AL_GI_No=60232426&mj_stat=0&optgf=
TONY PC,무관,"시급 7,530원","PC방, ","경기 수원시 영통구 청명로 7 (영통동, 청명타운텔) 지하1층 TONY PC",http://www.albamon.com/list/gi/mon_gib_read.asp?AL_GI_No=60163527&mj_stat=0&optgf=
휴먼스토리㈜,무관,"시급 9,800원","일반음식점, 주방장·조리사, 급식·푸드시스템, ",경기도 화성시 반월동,http://www.albamon.com/list/gi/mon_gib_read.asp?AL_GI_No=60279812&mj_stat=0&optgf=
분짜라붐 수원영통점,무관,"월급 2,500,000원","서빙, 주방장·조리사, 매장관리·판매, ","경기 수원시 영통구 청명남로 25 (영통동) 103,207호",http://www.albamon.com/list/gi/mon_gib_read.asp?AL_GI_No=60201143&mj_stat=0&optgf=
㈜ H . K 컴 퍼 니,무관,"월급 2,500,000원","제조·가공·조립, 생산·건설·노무 기타, ",경기 수원시 권선구 덕영대로 1093 (세류동) 가림빌딩 902호,http://www.albamon.com/list/gi/mon_gib_read.asp?AL_GI_No=60259485&mj_stat=0&optgf=
HS (한산),여자,"월급 3,500,000원","바(bar), ","경기 화성시 동탄중심상가1길 31 (반송동, 광장타워) 404-1호",http://www.albamon.com/list/gi/mon_gib_read.asp?AL_GI_No=60243476&mj_stat=0&optgf=
영통 칸지고고,무관,"월급 2,300,000원","레스토랑, 서빙, ",경기 수원시 영통구 영통동 958-3 번지 하우스토리 101호,http://www.albamon.com/list/gi/mon_gib_read.asp?AL_GI_No=60232426&mj_stat=0&optgf=
TONY PC,무관,"시급 7,530원","PC방, ","경기 수원시 영통구 청명로 7 (영통동, 청명타운텔) 지하1층 TONY PC",http://www.albamon.com/list/gi/mon_gib_read.asp?AL_GI_No=60163527&mj_stat=0&optgf=
휴먼스토리㈜,무관,"시급 9,800원","일반음식점, 주방장·조리사, 급식·푸드시스템, ",경기도 화성시 반월동,http://www.albamon.com/list/gi/mon_gib_read.asp?AL_GI_No=60279812&mj_stat=0&optgf=
엠코드학원,무관,"시급 9,000원","입시·보습학원, 보조교사, ",경기 수원시 영통구 영통동 609호-614호,http://www.albamon.com/list/gi/mon_gib_read.asp?AL_GI_No=60246733&mj_stat=0&optgf=
스킨앤바디케어,여자,"월급 3,500,000원","피부관리·마사지, 서비스 기타, 피트니스·스포츠, ",경기 수원시 영통구 영통동 1009-6 매직프라자,http://www.albamon.com/list/gi/mon_gib_read.asp?AL_GI_No=60290170&mj_stat=0&optgf=
못된고양이 영통역점,여자,"월급 2,000,000원","의류·잡화매장, 유통·판매 기타, ","경기 수원시 영통구 청명남로34번길 3 (영통동, 플래티넘빌딩) 106호",http://www.albamon.com/list/gi/mon_gib_read.asp?AL_GI_No=60265901&mj_stat=0&optgf=
큐브,여자,"월급 5,000,000원","바(bar), ","경기 수원시 영통구 매탄로100번길 29 (매탄동, 국제프라자) 6층 601호",http://www.albamon.com/list/gi/mon_gib_read.asp?AL_GI_No=60237798&mj_stat=0&optgf=
맘스터치 신영통점,무관,"시급 7,900원","패스트푸드점, 캐셔·카운터, 주방장·조리사, ","경기 수원시 영통구 영통로 136 (망포동, 센트럴타워) 107호",http://www.albamon.com/list/gi/mon_gib_read.asp?AL_GI_No=60280089&mj_stat=0&optgf=
㈜에이스컴퍼니,무관,"월급 2,800,000원","제조·가공·조립, 포장·품질검사, 생산·건설·노무 기타, ","경기 수원시 영통구 덕영대로 1520 (영통동, 망포역) 5번출구 도보 2분거리",http://www.albamon.com/list/gi/mon_gib_read.asp?AL_GI_No=60280040&mj_stat=0&optgf=
더스타,여자,"월급 4,500,000원","바(bar), ","경기 수원시 영통구 청명남로 30 (영통동, 거성빌딩) 602호 더스타",http://www.albamon.com/list/gi/mon_gib_read.asp?AL_GI_No=60278738&mj_stat=0&optgf=
헤어다이아,무관,"월급 2,200,000원","헤어·미용·네일샵, 매장관리·판매, 캐셔·카운터, ",경기 수원시 영통구 영통동 959-4 다모아프라자 2층 헤어다이아,http://www.albamon.com/list/gi/mon_gib_read.asp?AL_GI_No=60278525&mj_stat=0&optgf=
롯데홈쇼핑(월500만원/초보가능),무관,"월급 5,000,000원","택배·퀵서비스, 제조·가공·조립, 대리운전·일반운전, ",경기도 수원시 영통구 근무자 거주지 인근배치,http://www.albamon.com/list/gi/mon_gib_read.asp?AL_GI_No=60267243&mj_stat=0&optgf=
BAR-NANA,여자,"시급 30,000원","바(bar), ",경기 화성시 역골로49번길 13-1 (남양리) 102호 BAR NANA,http://www.albamon.com/list/gi/mon_gib_read.asp?AL_GI_No=60258151&mj_stat=0&optgf=
월190만원/삼성전자프로젝트/영어사용가능자,무관,"월급 1,900,000원","외국어·어학원, 문서작성·자료조사, 사무보조, ","경기 수원시 영통구 덕영대로1556번길 16 (영통동, 디지털엠파이어빌딩) 삼성전자 PJT",http://www.albamon.com/list/gi/mon_gib_read.asp?AL_GI_No=60139585&mj_stat=0&optgf=
